send,rec,strength,annotation
MOp,MOs,2,
MOp,SSp,4,
MOp,SSs,4,
MOp,VISC,5,
MOp,ILA,9,
MOp,GU,4,
MOp,MOB,9,
MOp,AOB,9,
MOp,AON,6,
MOp,TTd,9,
MOp,TTv,4,
MOp,PIR,9,
MOp,TR,9,
MOp,PAA,9,
MOp,NLOT,9,
MOp,COAa,9,
MOp,COApl,9,
MOp,COApm,9,
MOp,AUDp,6,
MOp,AUDd,9,
MOp,AUDv,9,
MOp,VISlla,9,
MOp,VISal,9,
MOp,VISam,9,
MOp,VISli,9,
MOp,VISlm,9,
MOp,VISpl,9,
MOp,VISp,7,
MOp,VISrl,9,
MOp,ACAd,5,
MOp,ACAv,9,
MOp,PL,9,
MOp,ORBl,6,
MOp,ORBm,9,
MOp,ORBv,9,
MOp,ORBvl,2,
MOp,AId,4,
MOp,AIv,9,
MOp,AIp,5,
MOp,RSPd,4,
MOp,RSPagl,5,
MOp,RSPv,9,
MOp,PTLp,2,
MOp,TEa,9,
MOp,ECT,3,
MOp,PERI,3,
MOp,ENTl,7,
MOp,ENTm,9,
MOp,ENTmv,9,
MOp,PRE,9,
MOp,POST,9,
MOp,PAR,9,
MOp,SUBd,9,
MOp,SUBv,9,
MOp,CA1,9,
MOp,CA3,9,
MOp,DG,9,
MOp,CLA,2,
MOp,EPd,9,
MOp,EPv,9,
MOp,LA,9,
MOp,BLAa,6,
MOp,BLAp,9,
MOp,BMAa,9,
MOp,BMAp,9,
MOp,PA,9,
MOp,CP,2,
MOp,FS,4,
MOp,LSv,9,
MOp,AAA,9,
MOp,CEAm,9,
MOp,CEAl,9,
MOp,CEAc,4,
MOp,MEAad,9,
MOp,MEAav,9,
MOp,MEApv,9,
MOp,BA,9,
MOp,IA,9,
MOp,SI,4,
MOp,BSTal,9,
MOp,BSTam,9,
MOp,BSTov,9,
MOp,BSTju,9,
MOp,BSTrh,9,
MOp,BSTdm,9,
MOp,BSTfu,9,
MOp,BSTv,9,
MOp,BSTmg,9,
MOp,BSTpr,9,
MOp,BSTif,9,
MOp,BSTtr,9,
MOp,VAL,4,
MOp,VM,4,
MOp,PO,4,
MOp,SMT,6,
MOp,PVT,4,
MOp,CM,4,
MOp,CL,4,
MOp,PF,6,
MOp,RT,4,
MOp,PSV,6,
MOp,DR,4,
MOp,NIc,9,
MOp,NId,9,
MOp,PMd,9,
MOp,SNr,6,
MOp,PG,6,
MOp,TRN,6,
MOp,PRC,9,
MOp,MPO,6,
MOp,LHAjp,9,
MOp,LHAs,9,
MOp,STN,6,
MOp,ZI,6,
MOs,MOp,1,
MOs,SSp,4,
MOs,SSs,3,
MOs,VISC,2,
MOs,ILA,4,
MOs,GU,4,
MOs,MOB,9,
MOs,AOB,9,
MOs,AON,9,
MOs,TTd,9,
MOs,TTv,9,
MOs,PIR,9,
MOs,TR,9,
MOs,PAA,9,
MOs,NLOT,9,
MOs,COAa,9,
MOs,COApl,9,
MOs,COApm,9,
MOs,AUDp,9,
MOs,AUDd,9,
MOs,AUDv,9,
MOs,VISlla,9,
MOs,VISal,1,
MOs,VISam,4,
MOs,VISli,9,
MOs,VISlm,5,
MOs,VISpl,9,
MOs,VISp,4,
MOs,VISrl,9,
MOs,ACAd,4,
MOs,ACAv,4,
MOs,PL,3,
MOs,ORBl,4,
MOs,ORBm,4,
MOs,ORBv,5,
MOs,ORBvl,2,
MOs,AId,4,
MOs,AIv,4,
MOs,AIp,2,
MOs,RSPd,4,
MOs,RSPagl,9,
MOs,RSPv,4,
MOs,PTLp,3,
MOs,TEa,5,
MOs,ECT,2,
MOs,PERI,2,
MOs,ENTl,3,
MOs,ENTm,9,
MOs,ENTmv,9,
MOs,PRE,3,
MOs,POST,3,
MOs,PAR,9,
MOs,SUBd,9,
MOs,SUBv,9,
MOs,CA1,9,
MOs,CA3,9,
MOs,DG,9,
MOs,IG,6,
MOs,CLA,4,
MOs,EPd,9,
MOs,EPv,9,
MOs,LA,3,
MOs,BLAa,3,
MOs,BLAp,3,
MOs,BMAa,9,
MOs,BMAp,9,
MOs,PA,9,
MOs,CP,1,
MOs,ACB,4,
MOs,FS,4,
MOs,LSv,9,
MOs,AAA,9,
MOs,CEAm,9,
MOs,CEAl,9,
MOs,MEAad,9,
MOs,MEAav,9,
MOs,MEApv,9,
MOs,BA,9,
MOs,IA,9,
MOs,BSTal,9,
MOs,BSTam,9,
MOs,BSTov,9,
MOs,BSTju,9,
MOs,BSTrh,9,
MOs,BSTv,9,
MOs,BSTmg,9,
MOs,BSTpr,9,
MOs,BSTif,9,
MOs,BSTtr,9,
MOs,VAL,4,
MOs,VM,6,
MOs,VPL,7,
MOs,LP,6,
MOs,PO,6,
MOs,AV,6,
MOs,AD,7,
MOs,LD,4,
MOs,MDl,4,
MOs,RH,7,
MOs,CL,4,
MOs,PF,6,
MOs,RT,6,
MOs,DR,4,
MOs,NIc,6,
MOs,NId,6,
MOs,PMd,9,
MOs,PG,4,
MOs,TRN,4,
MOs,PRC,4,
MOs,MAN,4,
MOs,INC,7,
MOs,PCG,6,
MOs,DTN,9,
MOs,LHAjp,6,
MOs,LHAs,9,
MOs,ZI,4,
MOs,APN,4,
MOs,III,7,
SSp,MOp,1,
SSp,MOs,3,
SSp,SSs,3,
SSp,VISC,9,
SSp,ILA,9,
SSp,GU,9,
SSp,MOB,9,
SSp,AON,9,
SSp,TTd,9,
SSp,TTv,9,
SSp,PIR,9,
SSp,COApm,9,
SSp,AUDp,9,
SSp,VISal,2,
SSp,VISam,5,
SSp,VISlm,9,
SSp,VISp,6,
SSp,ACAd,4,
SSp,ACAv,5,
SSp,PL,9,
SSp,ORBl,6,
SSp,ORBm,9,
SSp,ORBv,9,
SSp,ORBvl,4,
SSp,AId,6,
